species,assembly_type,software,field,operator,value,special_field
Bacteroides uniformis,all,Checkm,GC,>=,45.96,
Bacteroides uniformis,all,Checkm,Genome size (bp),<=,5500000,
Bacteroides uniformis,all,Checkm,Genome size (bp),>=,4200000,
Bacteroides uniformis,all,Checkm,Marker lineage,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,all,Quast,GC (%),<=,46.79,
Bacteroides uniformis,all,Quast,GC (%),>=,45.96,
Bacteroides uniformis,all,Quast,Ns per 100 kbp,<=,1000,
Bacteroides uniformis,all,Quast,Total length (>= 0 bp),<=,5500000,
Bacteroides uniformis,all,Quast,Total length (>= 0 bp),>=,4200000,
Bacteroides uniformis,all,Speciator,confidence,regex,^good$,
Bacteroides uniformis,all,Speciator,genusName,regex,^Bacteroides,
Bacteroides uniformis,all,Speciator,speciesName,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,all,Sylph,number_of_genomes,=,1,
Bacteroides uniformis,all,Sylph,species_name,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,short,Ariba,percent,=,100,
Bacteroides uniformis,short,Checkm,# contigs,<=,470,
Bacteroides uniformis,short,Checkm,N50 (scaffolds),>=,23000,
Bacteroides uniformis,short,Quast,# contigs (>= 0 bp),<=,470,
Bacteroides uniformis,short,Quast,N50,>=,23000,
Bifidobacterium adolescentis,all,Checkm,Completeness,>=,92,
Bifidobacterium adolescentis,all,Checkm,Contamination,<=,7,
Bifidobacterium adolescentis,all,Checkm,GC,<=,60.11,
Bifidobacterium adolescentis,all,Checkm,GC,>=,58.86,
Bifidobacterium adolescentis,all,Checkm,Genome size (bp),<=,2500000,
Bifidobacterium adolescentis,all,Checkm,Genome size (bp),>=,2000000,
Bifidobacterium adolescentis,all,Checkm,Marker lineage,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,all,Quast,GC (%),<=,60.11,
Bifidobacterium adolescentis,all,Quast,GC (%),>=,58.86,
Bifidobacterium adolescentis,all,Quast,Ns per 100 kbp,<=,1000,
Bifidobacterium adolescentis,all,Quast,Total length (>= 0 bp),<=,2500000,
Bifidobacterium adolescentis,all,Quast,Total length (>= 0 bp),>=,2000000,
Bifidobacterium adolescentis,all,Speciator,confidence,regex,^good$,
Bifidobacterium adolescentis,all,Speciator,genusName,regex,^Bifidobacterium,
Bifidobacterium adolescentis,all,Speciator,speciesName,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,all,Sylph,number_of_genomes,=,1,
Bifidobacterium adolescentis,all,Sylph,species_name,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,short,Ariba,percent,=,100,
Bifidobacterium adolescentis,short,Checkm,# contigs,<=,80,
Bifidobacterium adolescentis,short,Checkm,N50 (scaffolds),>=,65000,
Bifidobacterium adolescentis,short,Quast,# contigs (>= 0 bp),<=,80,
Bifidobacterium adolescentis,short,Quast,N50,>=,65000,
Bifidobacterium longum,all,Checkm,Completeness,>=,93,
Bifidobacterium longum,all,Checkm,Contamination,<=,3,
Bifidobacterium longum,all,Checkm,GC,<=,60.42,
Bifidobacterium longum,all,Checkm,GC,>=,59.13,
Bifidobacterium longum,all,Checkm,Genome size (bp),<=,2900000,
Bifidobacterium longum,all,Checkm,Genome size (bp),>=,2200000,
Bifidobacterium longum,all,Checkm,Marker lineage,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,all,Quast,GC (%),<=,60.42,
Bifidobacterium longum,all,Quast,GC (%),>=,59.13,
Bifidobacterium longum,all,Quast,Ns per 100 kbp,<=,1000,
Bifidobacterium longum,all,Quast,Total length (>= 0 bp),<=,2900000,
Bifidobacterium longum,all,Quast,Total length (>= 0 bp),>=,2200000,
Bifidobacterium longum,all,Speciator,confidence,regex,^good$,
Bifidobacterium longum,all,Speciator,genusName,regex,^Bifidobacterium,
Bifidobacterium longum,all,Speciator,speciesName,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,all,Sylph,number_of_genomes,=,1,
Bifidobacterium longum,all,Sylph,species_name,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,short,Ariba,percent,=,100,
Bifidobacterium longum,short,Checkm,# contigs,<=,150,
Bifidobacterium longum,short,Checkm,N50 (scaffolds),>=,55000,
Bifidobacterium longum,short,Quast,# contigs (>= 0 bp),<=,150,
Bifidobacterium longum,short,Quast,N50,>=,55000,
Bordetella pertussis,all,Checkm,Completeness,>=,91,
Bordetella pertussis,all,Checkm,Contamination,<=,8,
Bordetella pertussis,all,Checkm,GC,<=,67.93,
Bordetella pertussis,all,Checkm,GC,>=,67.61,
Bordetella pertussis,all,Checkm,Genome size (bp),<=,4400000,
Bordetella pertussis,all,Checkm,Genome size (bp),>=,3700000,
Bordetella pertussis,all,Checkm,Marker lineage,regex,^Bordetella pertussis,species_field
Bordetella pertussis,all,Quast,GC (%),<=,67.93,
Bordetella pertussis,all,Quast,GC (%),>=,67.61,
Bordetella pertussis,all,Quast,Ns per 100 kbp,<=,1000,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),<=,4400000,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),>=,3700000,
Bordetella pertussis,all,Speciator,confidence,regex,^good$,
Bordetella pertussis,all,Speciator,genusName,regex,^Bordetella,
Bordetella pertussis,all,Speciator,speciesName,regex,^Bordetella pertussis,species_field
Bordetella pertussis,all,Sylph,number_of_genomes,=,1,
Bordetella pertussis,all,Sylph,species_name,regex,^Bordetella pertussis,species_field
Bordetella pertussis,short,Ariba,percent,=,100,
Bordetella pertussis,short,Checkm,# contigs,<=,530,
Bordetella pertussis,short,Checkm,N50 (scaffolds),>=,12000,
Bordetella pertussis,short,Quast,# contigs (>= 0 bp),<=,530,
Bordetella pertussis,short,Quast,N50,>=,12000,
Brucella melitensis,all,Checkm,Completeness,>=,95,
Brucella melitensis,all,Checkm,Contamination,<=,1,
Brucella melitensis,all,Checkm,GC,<=,57.29,
Brucella melitensis,all,Checkm,GC,>=,57.21,
Brucella melitensis,all,Checkm,Genome size (bp),<=,3400000,
Brucella melitensis,all,Checkm,Genome size (bp),>=,3200000,
Brucella melitensis,all,Checkm,Marker lineage,regex,^Brucella melitensis,species_field
Brucella melitensis,all,Quast,GC (%),<=,57.29,
Brucella melitensis,all,Quast,GC (%),>=,57.21,
Brucella melitensis,all,Quast,Ns per 100 kbp,<=,1000,
Brucella melitensis,all,Quast,Total length (>= 0 bp),<=,3400000,
Brucella melitensis,all,Quast,Total length (>= 0 bp),>=,3200000,
Brucella melitensis,all,Speciator,confidence,regex,^good$,
Brucella melitensis,all,Speciator,genusName,regex,^Brucella,
Brucella melitensis,all,Speciator,speciesName,regex,^Brucella melitensis,species_field
Brucella melitensis,all,Sylph,number_of_genomes,=,1,
Brucella melitensis,all,Sylph,species_name,regex,^Brucella melitensis,species_field
Brucella melitensis,short,Ariba,percent,=,100,
Brucella melitensis,short,Checkm,# contigs,<=,80,
Brucella melitensis,short,Checkm,N50 (scaffolds),>=,83000,
Brucella melitensis,short,Quast,# contigs (>= 0 bp),<=,80,
Brucella melitensis,short,Quast,N50,>=,83000,
Burkholderia mallei,all,Checkm,Completeness,>=,94,
Burkholderia mallei,all,Checkm,Contamination,<=,6,
Burkholderia mallei,all,Checkm,GC,<=,68.52,
Burkholderia mallei,all,Checkm,GC,>=,67.89,
Burkholderia mallei,all,Checkm,Genome size (bp),<=,7400000,
Burkholderia mallei,all,Checkm,Genome size (bp),>=,5200000,
Burkholderia mallei,all,Checkm,Marker lineage,regex,^Burkholderia mallei,species_field
Burkholderia mallei,all,Quast,GC (%),<=,68.52,
Burkholderia mallei,all,Quast,GC (%),>=,67.89,
Burkholderia mallei,all,Quast,Ns per 100 kbp,<=,1000,
Burkholderia mallei,all,Quast,Total length (>= 0 bp),<=,7400000,
Burkholderia mallei,all,Quast,Total length (>= 0 bp),>=,5200000,
Burkholderia mallei,all,Speciator,confidence,regex,^good$,
Burkholderia mallei,all,Speciator,genusName,regex,^Burkholderia,
Burkholderia mallei,all,Speciator,speciesName,regex,^Burkholderia mallei,species_field
Burkholderia mallei,all,Sylph,number_of_genomes,=,1,
Burkholderia mallei,all,Sylph,species_name,regex,^Burkholderia mallei,species_field
Burkholderia mallei,short,Ariba,percent,=,100,
Burkholderia mallei,short,Checkm,# contigs,<=,620,
Burkholderia mallei,short,Checkm,N50 (scaffolds),>=,26000,
Burkholderia mallei,short,Quast,# contigs (>= 0 bp),<=,620,
Burkholderia mallei,short,Quast,N50,>=,26000,
Campylobacter coli,all,Checkm,Completeness,>=,94,
Campylobacter coli,all,Checkm,Contamination,<=,13,
Campylobacter coli,all,Checkm,GC,<=,32,
Campylobacter coli,all,Checkm,GC,>=,30,
Campylobacter coli,all,Checkm,Genome size (bp),<=,2200000,
Campylobacter coli,all,Checkm,Genome size (bp),>=,1600000,
Campylobacter coli,all,Checkm,Marker lineage,regex,^Campylobacter coli,species_field
Campylobacter coli,all,Quast,GC (%),<=,32,
Campylobacter coli,all,Quast,GC (%),>=,30,
Campylobacter coli,all,Quast,Ns per 100 kbp,<=,1000,
Campylobacter coli,all,Quast,Total length (>= 0 bp),<=,2200000,
Campylobacter coli,all,Quast,Total length (>= 0 bp),>=,1600000,
Campylobacter coli,all,Speciator,confidence,regex,^good$,
Campylobacter coli,all,Speciator,genusName,regex,^Campylobacter,
Campylobacter coli,all,Speciator,speciesName,regex,^Campylobacter coli,species_field
Campylobacter coli,all,Sylph,number_of_genomes,=,1,
Campylobacter coli,all,Sylph,species_name,regex,^Campylobacter coli,species_field
Campylobacter coli,short,Ariba,percent,=,100,
Campylobacter coli,short,Checkm,# contigs,<=,120,
Campylobacter coli,short,Checkm,N50 (scaffolds),>=,31000,
Campylobacter coli,short,Quast,# contigs (>= 0 bp),<=,120,
Campylobacter coli,short,Quast,N50,>=,31000,
Campylobacter jejuni,all,Checkm,Completeness,>=,95,
Campylobacter jejuni,all,Checkm,Contamination,<=,10,
Campylobacter jejuni,all,Checkm,GC,<=,31,
Campylobacter jejuni,all,Checkm,GC,>=,30,
Campylobacter jejuni,all,Checkm,Genome size (bp),<=,2100000,
Campylobacter jejuni,all,Checkm,Genome size (bp),>=,1500000,
Campylobacter jejuni,all,Checkm,Marker lineage,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,all,Quast,GC (%),<=,31,
Campylobacter jejuni,all,Quast,GC (%),>=,30,
Campylobacter jejuni,all,Quast,Ns per 100 kbp,<=,1000,
Campylobacter jejuni,all,Quast,Total length (>= 0 bp),<=,2100000,
Campylobacter jejuni,all,Quast,Total length (>= 0 bp),>=,1500000,
Campylobacter jejuni,all,Speciator,confidence,regex,^good$,
Campylobacter jejuni,all,Speciator,genusName,regex,^Campylobacter,
Campylobacter jejuni,all,Speciator,speciesName,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,all,Sylph,number_of_genomes,=,1,
Campylobacter jejuni,all,Sylph,species_name,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,short,Ariba,percent,=,100,
Campylobacter jejuni,short,Checkm,# contigs,<=,120,
Campylobacter jejuni,short,Checkm,N50 (scaffolds),>=,36000,
Campylobacter jejuni,short,Quast,# contigs (>= 0 bp),<=,120,
Campylobacter jejuni,short,Quast,N50,>=,36000,
Chlamydia trachomatis,all,Checkm,Completeness,>=,90,
Chlamydia trachomatis,all,Checkm,Contamination,<=,8,
Chlamydia trachomatis,all,Checkm,GC,<=,42.11,
Chlamydia trachomatis,all,Checkm,GC,>=,41.13,
Chlamydia trachomatis,all,Checkm,Genome size (bp),<=,1300000,
Chlamydia trachomatis,all,Checkm,Genome size (bp),>=,1000000,
Chlamydia trachomatis,all,Checkm,Marker lineage,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,all,Quast,GC (%),<=,42.11,
Chlamydia trachomatis,all,Quast,GC (%),>=,41.13,
Chlamydia trachomatis,all,Quast,Ns per 100 kbp,<=,1000,
Chlamydia trachomatis,all,Quast,Total length (>= 0 bp),<=,1300000,
Chlamydia trachomatis,all,Quast,Total length (>= 0 bp),>=,1000000,
Chlamydia trachomatis,all,Speciator,confidence,regex,^good$,
Chlamydia trachomatis,all,Speciator,genusName,regex,^Chlamydia,
Chlamydia trachomatis,all,Speciator,speciesName,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,all,Sylph,number_of_genomes,=,1,
Chlamydia trachomatis,all,Sylph,species_name,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,short,Ariba,percent,=,100,
Chlamydia trachomatis,short,Checkm,# contigs,<=,310,
Chlamydia trachomatis,short,Checkm,N50 (scaffolds),>=,6000,
Chlamydia trachomatis,short,Quast,# contigs (>= 0 bp),<=,310,
Chlamydia trachomatis,short,Quast,N50,>=,6000,
Citrobacter freundii,all,Checkm,Completeness,>=,94,
Citrobacter freundii,all,Checkm,Contamination,<=,11,
Citrobacter freundii,all,Checkm,GC,<=,52.05,
Citrobacter freundii,all,Checkm,GC,>=,51.2,
Citrobacter freundii,all,Checkm,Genome size (bp),<=,6100000,
Citrobacter freundii,all,Checkm,Genome size (bp),>=,4800000,
Citrobacter freundii,all,Checkm,Marker lineage,regex,^Citrobacter freundii,species_field
Citrobacter freundii,all,Quast,GC (%),<=,52.05,
Citrobacter freundii,all,Quast,GC (%),>=,51.2,
Citrobacter freundii,all,Quast,Ns per 100 kbp,<=,1000,
Citrobacter freundii,all,Quast,Total length (>= 0 bp),<=,6100000,
Citrobacter freundii,all,Quast,Total length (>= 0 bp),>=,4800000,
Citrobacter freundii,all,Speciator,confidence,regex,^good$,
Citrobacter freundii,all,Speciator,genusName,regex,^Citrobacter,
Citrobacter freundii,all,Speciator,speciesName,regex,^Citrobacter freundii,species_field
Citrobacter freundii,all,Sylph,number_of_genomes,=,1,
Citrobacter freundii,all,Sylph,species_name,regex,^Citrobacter freundii,species_field
Citrobacter freundii,short,Ariba,percent,=,100,
Citrobacter freundii,short,Checkm,# contigs,<=,320,
Citrobacter freundii,short,Checkm,N50 (scaffolds),>=,58000,
Citrobacter freundii,short,Quast,# contigs (>= 0 bp),<=,320,
Citrobacter freundii,short,Quast,N50,>=,58000,
Clostridium botulinum,all,Checkm,Completeness,>=,94,
Clostridium botulinum,all,Checkm,Contamination,<=,3,
Clostridium botulinum,all,Checkm,GC,<=,28.35,
Clostridium botulinum,all,Checkm,GC,>=,27,
Clostridium botulinum,all,Checkm,Genome size (bp),<=,4500000,
Clostridium botulinum,all,Checkm,Genome size (bp),>=,2700000,
Clostridium botulinum,all,Checkm,Marker lineage,regex,^Clostridium botulinum,species_field
Clostridium botulinum,all,Quast,GC (%),<=,28.35,
Clostridium botulinum,all,Quast,GC (%),>=,27,
Clostridium botulinum,all,Quast,Ns per 100 kbp,<=,1000,
Clostridium botulinum,all,Quast,Total length (>= 0 bp),<=,4500000,
Clostridium botulinum,all,Quast,Total length (>= 0 bp),>=,2700000,
Clostridium botulinum,all,Speciator,confidence,regex,^good$,
Clostridium botulinum,all,Speciator,genusName,regex,^Clostridium,
Clostridium botulinum,all,Speciator,speciesName,regex,^Clostridium botulinum,species_field
Clostridium botulinum,all,Sylph,number_of_genomes,=,1,
Clostridium botulinum,all,Sylph,species_name,regex,^Clostridium botulinum,species_field
Clostridium botulinum,short,Ariba,percent,=,100,
Clostridium botulinum,short,Checkm,# contigs,<=,600,
Clostridium botulinum,short,Checkm,N50 (scaffolds),>=,11000,
Clostridium botulinum,short,Quast,# contigs (>= 0 bp),<=,600,
Clostridium botulinum,short,Quast,N50,>=,11000,
Clostridium difficile,all,Checkm,Completeness,>=,94,
Clostridium difficile,all,Checkm,Contamination,<=,4,
Clostridium difficile,all,Checkm,GC,<=,29.6,
Clostridium difficile,all,Checkm,GC,>=,28.15,
Clostridium difficile,all,Checkm,Genome size (bp),<=,4600000,
Clostridium difficile,all,Checkm,Genome size (bp),>=,3800000,
Clostridium difficile,all,Checkm,Marker lineage,regex,^Clostridium difficile,species_field
Clostridium difficile,all,Quast,GC (%),<=,29.6,
Clostridium difficile,all,Quast,GC (%),>=,28.15,
Clostridium difficile,all,Quast,Ns per 100 kbp,<=,1000,
Clostridium difficile,all,Quast,Total length (>= 0 bp),<=,4600000,
Clostridium difficile,all,Quast,Total length (>= 0 bp),>=,3800000,
Clostridium difficile,all,Speciator,confidence,regex,^good$,
Clostridium difficile,all,Speciator,genusName,regex,^Clostridium,
Clostridium difficile,all,Speciator,speciesName,regex,^Clostridium difficile,species_field
Clostridium difficile,all,Sylph,number_of_genomes,=,1,
Clostridium difficile,all,Sylph,species_name,regex,^Clostridium difficile,species_field
Clostridium difficile,short,Ariba,percent,=,100,
Clostridium difficile,short,Checkm,# contigs,<=,720,
Clostridium difficile,short,Checkm,N50 (scaffolds),>=,10000,
Clostridium difficile,short,Quast,# contigs (>= 0 bp),<=,720,
Clostridium difficile,short,Quast,N50,>=,10000,
Corynebacterium diphtheriae,all,Checkm,Completeness,>=,95,
Corynebacterium diphtheriae,all,Checkm,Contamination,<=,2,
Corynebacterium diphtheriae,all,Checkm,GC,<=,53.76,
Corynebacterium diphtheriae,all,Checkm,GC,>=,53.31,
Corynebacterium diphtheriae,all,Checkm,Genome size (bp),<=,2600000,
Corynebacterium diphtheriae,all,Checkm,Genome size (bp),>=,2300000,
Corynebacterium diphtheriae,all,Checkm,Marker lineage,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,all,Quast,GC (%),<=,53.76,
Corynebacterium diphtheriae,all,Quast,GC (%),>=,53.31,
Corynebacterium diphtheriae,all,Quast,Ns per 100 kbp,<=,1000,
Corynebacterium diphtheriae,all,Quast,Total length (>= 0 bp),<=,2600000,
Corynebacterium diphtheriae,all,Quast,Total length (>= 0 bp),>=,2300000,
Corynebacterium diphtheriae,all,Speciator,confidence,regex,^good$,
Corynebacterium diphtheriae,all,Speciator,genusName,regex,^Corynebacterium,
Corynebacterium diphtheriae,all,Speciator,speciesName,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,all,Sylph,number_of_genomes,=,1,
Corynebacterium diphtheriae,all,Sylph,species_name,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,short,Ariba,percent,=,100,
Corynebacterium diphtheriae,short,Checkm,# contigs,<=,100,
Corynebacterium diphtheriae,short,Checkm,N50 (scaffolds),>=,63000,
Corynebacterium diphtheriae,short,Quast,# contigs (>= 0 bp),<=,100,
Corynebacterium diphtheriae,short,Quast,N50,>=,63000,
Cronobacter sakazakii,all,Checkm,Completeness,>=,95,
Cronobacter sakazakii,all,Checkm,Contamination,<=,4,
Cronobacter sakazakii,all,Checkm,GC,<=,57.13,
Cronobacter sakazakii,all,Checkm,GC,>=,56.29,
Cronobacter sakazakii,all,Checkm,Genome size (bp),<=,5000000,
Cronobacter sakazakii,all,Checkm,Genome size (bp),>=,4200000,
Cronobacter sakazakii,all,Checkm,Marker lineage,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,all,Quast,GC (%),<=,57.13,
Cronobacter sakazakii,all,Quast,GC (%),>=,56.29,
Cronobacter sakazakii,all,Quast,Ns per 100 kbp,<=,1000,
Cronobacter sakazakii,all,Quast,Total length (>= 0 bp),<=,5000000,
Cronobacter sakazakii,all,Quast,Total length (>= 0 bp),>=,4200000,
Cronobacter sakazakii,all,Speciator,confidence,regex,^good$,
Cronobacter sakazakii,all,Speciator,genusName,regex,^Cronobacter,
Cronobacter sakazakii,all,Speciator,speciesName,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,all,Sylph,number_of_genomes,=,1,
Cronobacter sakazakii,all,Sylph,species_name,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,short,Ariba,percent,=,100,
Cronobacter sakazakii,short,Checkm,# contigs,<=,140,
Cronobacter sakazakii,short,Checkm,N50 (scaffolds),>=,92000,
Cronobacter sakazakii,short,Quast,# contigs (>= 0 bp),<=,140,
Cronobacter sakazakii,short,Quast,N50,>=,92000,
Enterobacter cloacae,all,Checkm,Completeness,>=,90,
Enterobacter cloacae,all,Checkm,Contamination,<=,4,
Enterobacter cloacae,all,Checkm,GC,<=,56.95,
Enterobacter cloacae,all,Checkm,GC,>=,52.92,
Enterobacter cloacae,all,Checkm,Genome size (bp),<=,5800000,
Enterobacter cloacae,all,Checkm,Genome size (bp),>=,4500000,
Enterobacter cloacae,all,Checkm,Marker lineage,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,all,Quast,GC (%),<=,56.95,
Enterobacter cloacae,all,Quast,GC (%),>=,52.92,
Enterobacter cloacae,all,Quast,Ns per 100 kbp,<=,1000,
Enterobacter cloacae,all,Quast,Total length (>= 0 bp),<=,5800000,
Enterobacter cloacae,all,Quast,Total length (>= 0 bp),>=,4500000,
Enterobacter cloacae,all,Speciator,confidence,regex,^good$,
Enterobacter cloacae,all,Speciator,genusName,regex,^Enterobacter,
Enterobacter cloacae,all,Speciator,speciesName,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,all,Sylph,number_of_genomes,=,1,
Enterobacter cloacae,all,Sylph,species_name,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,short,Ariba,percent,=,100,
Enterobacter cloacae,short,Checkm,# contigs,<=,410,
Enterobacter cloacae,short,Checkm,N50 (scaffolds),>=,41000,
Enterobacter cloacae,short,Quast,# contigs (>= 0 bp),<=,410,
Enterobacter cloacae,short,Quast,N50,>=,41000,
Enterobacter hormaechei,all,Checkm,Completeness,>=,97,
Enterobacter hormaechei,all,Checkm,Contamination,<=,4,
Enterobacter hormaechei,all,Checkm,GC,<=,55.77,
Enterobacter hormaechei,all,Checkm,GC,>=,54.28,
Enterobacter hormaechei,all,Checkm,Genome size (bp),<=,5700000,
Enterobacter hormaechei,all,Checkm,Genome size (bp),>=,4500000,
